AFF_LOVE_POINT	Liebespunkte: %d%%
TOOLTIP_MALL_SAFEBOX	Dein Lagerraum erhält 2 Lagerräume	SNA
TOOLTIP_MAX_HP	Max. TP +%d	SA
TOOLTIP_MAX_HP_PCT	Max. TP +%d%%	SA
TOOLTIP_MAX_SP	Max. MP +%d	SA
TOOLTIP_MAX_SP_PCT	Max. MP +%d%%	SA
TOOLTIP_MAX_STAMINA	Max. Ausdauer +%d	SA
TOOLTIP_MELEE_MAGIC_ATTBONUS_PER	Magie/Nahkampfangriff +%d%%	SA
TOOLTIP_MEMORIZED_POSITION	%s(%d, %d)
TOOLTIP_MEMORIZED_POSITION_ERROR	GPS ERROR(%d, %d)
TOOLTIP_MOV_SPEED	Bewegungsgeschwindigkeit %d%%	SA
TOOLTIP_NECK	Halskette
TOOLTIP_NEED_ALL_SP	Benötigte MP: Max.
TOOLTIP_NEED_GSP	Benötigter Drachengeist: %d
TOOLTIP_NEED_HP	Benötigte TP: %d
TOOLTIP_NEED_HP_PER_SEC	Benötigte TP / Sek.: %d
TOOLTIP_NEED_SP	Benötigte MP: %d
TOOLTIP_NEED_SP_PER_SEC	MP / Sek.: %d
TOOLTIP_NEXT_SKILL_LEVEL_1	Nächste Stufe: %d (Max. %d)
TOOLTIP_NORMAL_HIT_DAMAGE_BONUS	Durchschnittlicher Schaden %d %%	SA
TOOLTIP_NORMAL_HIT_DEFEND_BONUS	Durchschnittlicher Schadenswiderstand %d%%	SA
TOOLTIP_PARTY_SKILL_LEVEL	Aktuelle Stufe: %d
TOOLTIP_PICK_EXP	Punkte: %d / %d
TOOLTIP_PICK_LEVEL	Stufe: %d
TOOLTIP_PICK_UPGRADE1	Gib dem Holzfäller
TOOLTIP_PICK_UPGRADE2,	um einen besseren
TOOLTIP_PICK_UPGRADE3	Spitzhacke.
TOOLTIP_POTION_CURE	Heile negative Effekte.
TOOLTIP_POTION_MIN	Min.
TOOLTIP_POTION_PLUS_ATTACK_SPEED	Angriffsgeschwindigkeit +%d
TOOLTIP_POTION_PLUS_HP_PERCENT	TP +%d%%	
TOOLTIP_POTION_PLUS_HP_POINT	TP +%d	
TOOLTIP_POTION_PLUS_MOVING_SPEED	Bewegungsgeschwindigkeit +%d
TOOLTIP_POTION_PLUS_SP_PERCENT	MP +%d%%	
TOOLTIP_POTION_PLUS_SP_POINT	MP +%d	
TOOLTIP_POTION_SEC	Sec.	
TOOLTIP_POTION_TIME	Dauer:	
TOOLTIP_REQUIREMENT_SKILL_LEVEL	%s Stufe %d benötigt.
TOOLTIP_REQUIREMENT_STAT_LEVEL	%s %d benötigt
TOOLTIP_RESIST_BOW	Pfeilverteidigung %d%%	SA
TOOLTIP_RESIST_DARK	Resistenz gegen Dunkelheit +%d%%	SA
TOOLTIP_RESIST_EARTH	Erdwiderstand +%d%%	SA
TOOLTIP_RESIST_ELEC	Blitzwiderstand %d%%	SA
TOOLTIP_RESIST_FIRE	Feuerwiderstand %d%%	SA
TOOLTIP_RESIST_HUMAN	Durchschnittlicher menschlicher Widerstand %d%%	SA
TOOLTIP_RESIST_ICE	Eiswiderstand +%d%%	SA
TOOLTIP_RESIST_MAGIC	Magieresistenz %d%%	SA
TOOLTIP_RESIST_MAGIC_REDUCTION	Magiedurchdringung von %d%%	SA
TOOLTIP_REST_USABLE_COUNT	Links: %d
TOOLTIP_SEALED	Seelengebunden
TOOLTIP_SELLPRICE	Preis: %s
TOOLTIP_SHAMAN	Schamane
TOOLTIP_SHIELD	Schild
TOOLTIP_SHOES	Schuhe
TOOLTIP_SKILL	Fertigkeiten	SNA
TOOLTIP_SKILLBOOK_NAME	Fertigkeitsbuch
TOOLTIP_SKILL_AFFECT_ATT_GRADE	Angriffswert: +
TOOLTIP_SKILL_AFFECT_ATT_POWER	Angriffswert:
TOOLTIP_SKILL_AFFECT_ATT_SPEED	Angriffsgeschwindigkeit: +
TOOLTIP_SKILL_AFFECT_DEF_GRADE	Verteidigung:
TOOLTIP_SKILL_AFFECT_DODGE	Gegnerischer Angriffswert: -
TOOLTIP_SKILL_AFFECT_HEAL	TP wiederherstellen:
TOOLTIP_SKILL_AFFECT_MOV_SPEED	Bewegungsgeschwindigkeit: +
TOOLTIP_SKILL_AFFECT_REFLECT_MELEE	Chance, Nahkampfangriffe zu reflektieren:
TOOLTIP_SKILL_AFFECT_RESIST_NORMAL	Resistenz gegen Körperschaden:
TOOLTIP_SKILL_COOL_TIME	Wiederaufladen:
TOOLTIP_SKILL_DAMAGE_BONUS	Fertigkeitsschaden %d%%	SA
TOOLTIP_SKILL_DEFEND_BONUS	Widerstand gegen Fertigkeitsschaden %d%%	SA
TOOLTIP_SKILL_DURATION	Dauer: %d sec.
TOOLTIP_SKILL_FORGET_BOOK_NAME	Buch des Vergessens
TOOLTIP_SKILL_LEVEL	Aktuelle Stufe: %d
TOOLTIP_SKILL_LEVEL_MASTER	Derzeitige Stufe: %d (Meister)
TOOLTIP_SKILL_LEVEL_WITH_MAX	Aktueller Level: %d (Max. %d)
TOOLTIP_SOCKET_EMPTY	Leer
TOOLTIP_SOCKET_REFINABLE_ITEM	[Gegenstand mit Sockel]
TOOLTIP_SP_REGEN	MP-Regeneration +%d%%	SA
TOOLTIP_STR	Stärke +%d	SA
TOOLTIP_SUNGMA_HP	%d von Sungma wird (vit)	SA
TOOLTIP_SUNGMA_IMMUNE	%d des Sungma-Willens (INT)	SA
TOOLTIP_SUNGMA_MOVE	%d von Sungma (Res) wird	SA
TOOLTIP_SUNGMA_STR	%d von Sungma wird (STR)	SA
TOOLTIP_SURA	Sura
TOOLTIP_TIME_CHARGER_FIX	Zeitaufladung %d Sek.	SA
TOOLTIP_TIME_CHARGER_PER	Ladezeit %d%%	SA
TOOLTIP_UNIQUE	Einzigartig
TOOLTIP_UNSEAL_LEFT_TIME	Entfernen des Soulbinds in: %d Std. %d Min.
TOOLTIP_WARRIOR	Krieger
TOOLTIP_WEAPON	Waffe
TOOLTIP_WOLFMAN	Lykaner
TOOLTIP_WRISTLET	Handgelenkstasche
TOURNAMENT_ALL_CHARACTER	Alle Charaktere	
TOURNAMENT_EVENT	PVP-Turnier (%s - Lv %d - Lv %d)	
UI_ACCEPT	Annehmen
UI_CANCEL	Abbrechen
UI_CLOSE	Schliessen
UI_DEF_FONT	Tahoma:12
UI_DEF_FONT_LARGE	Tahoma:14
UI_DEF_FONT_SMALL	Tahoma:9
UI_DENY	Ablehnen
UI_ITEM	Artikel
UI_LEFT_TIME	Verbleibende Zeit: %d Sek.
UI_NEXT	Weiter
UI_NEXTPAGE	Weiter
UI_NOCONTENTS	Kein Inhalt
UI_NONAME	Kein Name
UI_OK	OK
UI_POS_UNKNOWN	Unbekannter Ort
UI_PREVPAGE	Zurück
UPDATE_TIME	Datum	
UPLOAD_MARK_UPLOAD_NEED_RECONNECT	Der Upload muss erneut gestartet werden.
USE_ITEM_FAILURE_PRIVATE_SHOP	Du kannst keine Gegenstände verwenden, während du einen privaten Shop geöffnet hast.
WHEEL_REWARD_TEXT	Du hast eine	
WHEEL_REWARD_TEXT_1	In deinem Inventar	
WHEEL_REWARD_TITLE	Roulette-Belohnung	
WHELL_OF_FORTUNE_EVENT	Sommer Event
WIKI_100	Lv 121-?
WIKI_1_75	Lv 1-99
WIKI_76_100	Lv 99-150
WIKI_ATTR_RARE	Bonus 6/7
WIKI_AVAIBLE_AT	Erhältlich bei
WIKI_BASIC	Spielmechanik
WIKI_ALCHEMY	Alchemie-System
WIKI_EVENTS	Verfügbare Ereignisse
WIKI_BASIC_DROP	Grundlegende Beute
WIKI_BIOLOG	Biolog
WIKI_BIOLOGO	Biolog
WIKI_BODY_COSTUME	Körperkostüm
WIKI_BOSSES	Bosse
WIKI_BOSSES_EVENT	Ereignis-Bosse
WIKI_CATEGORY	Kategorie
WIKI_CHESTS	Truhen
WIKI_CHESTS_ALTERNATIVE	Alternative Truhen
WIKI_CHESTS_BOSS	Boss-Truhen
WIKI_CHESTS_DUNGEON	Dungeontruhen
WIKI_CHESTS_EVENT	Ereignistruhen
WIKI_CHESTS_OTHER	Andere Truhen
WIKI_CONTENT_INFO	Inhalt von %s
WIKI_COSTUME	Skins und Kostüme
WIKI_COSTUMES	Kostüme
WIKI_DROPLIST_INFO	Dropliste von %s
WIKI_EQUIPMENT	Ausrüstung
WIKI_EQUIPMENT_ARMOR	Rüstung
WIKI_EQUIPMENT_BELT	Gürtel
WIKI_EQUIPMENT_BRACELET	Armband
WIKI_EQUIPMENT_EARRING	Ohrringe
WIKI_EQUIPMENT_HELMET	Helme
WIKI_EQUIPMENT_NECKLACE	Halskette
WIKI_EQUIPMENT_RINGS	Ringe
WIKI_EQUIPMENT_SHIELD	Schilde
WIKI_EQUIPMENT_SHOES	Schuhe
WIKI_EQUIPMENT_TALISMAN	Talisman
WIKI_EQUIPMENT_WEAPONS	Waffen
WIKI_GAMERULES	Spielregeln
WIKI_GAME_RULES	Spielregeln
WIKI_GUIDES	Vidra Informationen
WIKI_HAIR_COSTUME	Haarkostüm
WIKI_ITEM_NAME	Gegenstandsname
WIKI_LEVEL_MOB_TEXT	Level %d
WIKI_LEVEL_TEXT	Level %d - Verfeinerter Bereich %d~%d
WIKI_LEVEL_TEXT2	Level %d~%d - Verfeinerungsbereich %d~%d
WIKI_METINSTONE	Metinstein
WIKI_MOB_NAME	Mob-Name
WIKI_MONSTER	Monster
WIKI_MOUNT	Haustiere und Reittiere
WIKI_MOUNT_ITEM	Reittiere
WIKI_ORIGIN	Herkunft
WIKI_PETS	Haustiere
WIKI_PET_ITEM	Haustiere
WIKI_PET_LEVEABLE_ITEM	Level Haustiere
WIKI_SASH_COSTUME	Schulterband Skin
WIKI_SHINING	Shinnings
WIKI_STATICS_INFO	Statik von %s
WIKI_STATICS_INFO_DEFENSES	Verteidigungen:
WIKI_STATICS_INFO_DMG	Min. Dmg:%d | Max. Dmg:%d | Max TP: %d
WIKI_STATICS_INFO_TYPE	Gattung: %s | Untergattung: %s
WIKI_STATICS_INFO_YNG	Min. Yang:%d | Max. Yang:%d | EXP: %d
WIKI_SYSTEM2	Grundlegende Systeme
WIKI_TITLE	Wiki-System
WIKI_TITLE2	[H] WikiInfo
WIKI_UNKOWN_ITEM	Unbekannter Gegenstand: %d
WIKI_UNKOWN_MOB	Unbekannter Mob: %d
WIKI_UPGRADE_COSTS	Nächster Gegenstand 
WIKI_WEAPON_SKIN	Waffenskin
WIKI_YANG_COSTS	Yang-Kosten
YANG_DROP_EVENT	Yang Drop Ereignis: %d%%	
YELLOW_KINGDOM	|cFFFDE696Chunjo:|h|r	
YES	Kaufen	
cube_1	Zodiac lv 105
cube_2	Cyanite Weapons & Armours
cube_3	Zodiac-Waffen und -Rüstungen
cube_4	Premium PVM Items
cube_5	Armbänder
cube_6	Schulterbänder
cube_7	Gürtel
cube_8	Halsketten
cube_9	Ohrringe
cube_10	Schuhe
cube_11	Helme
cube_12	Premium PVP Armours & Weapons
cube_13	Shield
cube_14	Helmet
PRIVATESHOPSEARCH_WEAPON_SWORD	Schwert
PRIVATESHOPSEARCH_WEAPON_TWOHAND	Zweihand
PRIVATESHOPSEARCH_WEAPON_DAGGER	Dolch
PRIVATESHOPSEARCH_WEAPON_BOW	Bogen
PRIVATESHOPSEARCH_WEAPON_CLAW	Klaue
PRIVATESHOPSEARCH_WEAPON_FAN	Fächer
PRIVATESHOPSEARCH_WEAPON_BELL	Glocke
PRIVATESHOPSEARCH_EQUIPMENT	Ausrüstung
PRIVATESHOPSEARCH_EQUIPMENT_ARMOUR	Panzerung
PRIVATESHOPSEARCH_EQUIPMENT_SHIELD	Schild
PRIVATESHOPSEARCH_EQUIPMENT_EARRINGS	Ohrringe
PRIVATESHOPSEARCH_EQUIPMENT_NECKLACES	Halsketten
PRIVATESHOPSEARCH_EQUIPMENT_BRACELETS	Armbänder
PRIVATESHOPSEARCH_EQUIPMENT_SHOES	Schuhe
PRIVATESHOPSEARCH_EQUIPMENT_BELTS	Gürtel
PRIVATESHOPSEARCH_EQUIPMENT_HELMETS	Helme
PRIVATESHOPSEARCH_EQUIPMENT_TALISMAN	Talisman
PRIVATESHOPSEARCH_COSTUMES	Kostüme
PRIVATESHOPSEARCH_COSTUMES_BODY	Kostümkörper
PRIVATESHOPSEARCH_COSTUMES_HAIR	Kostüm Haare
PRIVATESHOPSEARCH_COSTUMES_WEAPON_SKIN	Kostüm Waffe
PRIVATESHOPSEARCH_COSTUMES_SHOULDER_SASHES	Schulterbänder
PRIVATESHOPSEARCH_DRAGONSOULALCHEMY_DRAGON_BEANS	Drachenbohnen
PRIVATESHOPSEARCH_CONSUMABLES	Verbrauchsgüter
PRIVATESHOPSEARCH_CONSUMABLES_DEWS	Tauwasser
PRIVATESHOPSEARCH_CONSUMABLES_HERBS	Kräuter
PRIVATESHOPSEARCH_BOOKS_SKILLBOOK	Beweglichkeitsbücher
PRIVATESHOPSEARCH_BOOKS_OTHERBOOK	Andere Bücher
PRIVATESHOPSEARCH_BOOKS_WARDBOOK	Stationsbücher
PRIVATESHOPSEARCH_BOOKS_BOOSTBOOK	Boost-Bücher
PRIVATESHOPSEARCH_BOOKS_PETBOOK	Haustierbücher
PRIVATESHOPSEARCH_BOOKS_LOWPETBOOKS	Niedrige Haustierbücher
PRIVATESHOPSEARCH_OTHERITEMS_REFINEMENT	Veredelungsartikel
PRIVATESHOPSEARCH_OTHERITEMS_BIOLOGIST	Biologe Artikel
PRIVATESHOPSEARCH_OTHERITEMS_QUEST	Suchbegriffe
PRIVATESHOPSEARCH_OTHERITEMS_ENERGY_SHARDS	Energiesplitter
PRIVATESHOPSEARCH_OTHERITEMS_CHESTS	Truhen
PRIVATESHOPSEARCH_HELPFULLITEMS	Hilfreiche Gegenstände
PRIVATESHOPSEARCH_HELPFULLITEMS_ENCHANT_ITEM	Verzaubern von Gegenständen
PRIVATESHOPSEARCH_HELPFULLITEMS_OTHER_SWITCHERS	Andere Schalter
PRIVATESHOPSEARCH_HELPFULLITEMS_ADVANCED_ITEMS	Erweiterte Gegenstände
PRIVATESHOPSEARCH_HELPFULLITEMS_METIN_STONE	Geisterstein
PRIVATESHOPSEARCH_HELPFULLITEMS_RINGS	Ringe
PRIVATESHOPSEARCH_ORES	Erze
PRIVATESHOPSEARCH_ORES_ORE	Erze
PRIVATESHOPSEARCH_ORES_REFINED_ORE	Veredelte Erze
PRIVATESHOPSEARCH_ORES_REFINED_ORE2	Veredeltes Erz+
PRIVATESHOPSEARCH_PETS_NICKNAME_SCROLL	Schriftrollen mit Tiernamen
PRIVATESHOPSEARCH_PETS_PETS	Haustiere
PRIVATESHOPSEARCH_MOUNTS	Reittiere
PRIVATESHOPSEARCH_PETS_NEWPETS	Haustiersystem Haustiere
SHOPSEARCHCENTERTEXT	Artikel zuerst suchen
SHOPSEARCH_NEED_WAIT	Du bist so schnell. Du musst ein paar Sekunden warten.
SHOPSEARCH_NEED_LIST	Du wählst keinen Artikel in der Suche aus.
SHOPSEARCH_NOT_ENOUGH_MONEY	Du hast nicht genug Geld für diese Artikel!
SHOPSEARCH_CLASS	Klasse
SHOPSEARCH_PRICE	Preis
SHOPSEARCH_OBJECTS	Item(s)e
SHOPSEARCH_FILTERS	Ebene - Gegenstandsebene
SHOPSEARCH_SEARCH_TEXT	SUCHBEGRIFF
SHOPSEARCH_SEARCH_BTN	Suche
SHOPSEARCH_BUY_BTN	Ausgewählte Artikel kaufen
SHOPSEARCH_ALL_CLASS	Alle Klassen
CREATE_SEX	Geschlecht
CREATE_MAN	Mann
CREATE_WOMAN	Frau
REFINEMENT_GRADE	Verfeinerungsgrad
ALCHEMY_CLASS	Alchemie-Klasse
PRICE01	Preis:
PRICE02	Preis: x%d
PRIVATESHOPSEARCH_AllITEMS	Alle Artikel
PRIVATESHOPSEARCH_EQUIPMENT_RINGS	Ringe
PRIVATESHOPSEARCH_EQUIPMENT_PENDANT	Talismane
SHOPSEARCH_BUY_QUESTION	%d ausgewählte Artikel. Insgesamt %s Yang.
CHEST_TOOLTIP_TEXT_OPEN	Alle öffnen
APP_MINI_TITLE	Testserver
DISCORD_STUF_MESSAGE	Flüstern von %s
OPTION_SPECIAL_MESSAGE	Windows-Meldung
DISCORD_TEXT_TITLE	Server Discord Nachricht
DISCORD_TEXT_TEXT	Willkommen auf unserem Server. Bist du zu unserem Discord Server gekommen? Klicke für den Link...
COSTUME_SLOT_MOUNT_SKIN	Mount Skin
BEAD_COUNT	%d
CZ_REWARD_QUESTION_COMPLETE	Möchtest du abschliessen?
CZ_REWARD_TOOLTIP_10GAN	10 himmlischer Stamm
CZ_REWARD_TOOLTIP_10GAN_COUNT	Die Anzahl meiner 10 Himmelsstämme
CZ_REWARD_TOOLTIP_10GAN_NEED_COUNT	Die Anzahl der benötigten 10 Himmelsstämme
CZ_REWARD_TOOLTIP_12ZI	Tierkreis-Talisman
CZ_REWARD_TOOLTIP_12ZI_COUNT	Die Anzahl meiner Zodiac-Talismane
CZ_REWARD_TOOLTIP_12ZI_NEED_COUNT	Die Anzahl der benötigten Zodiac-Talismane
CZ_REWARD_TOOLTIP_ALL_BOX	Goldkoffer
CZ_REWARD_TOOLTIP_CAN_GET_ALL_BOX	Kann Goldkoffer bekommen
CZ_REWARD_TOOLTIP_CAN_GET_GREEN_BOX	Kann grünen Koffer bekommen
CZ_REWARD_TOOLTIP_CAN_GET_YELLOW_BOX	Kann gelbe Kiste bekommen
CZ_REWARD_TOOLTIP_COMPLETABLE	Abschliessbar
CZ_REWARD_TOOLTIP_GREEN_BOX	Grüner Fall
CZ_REWARD_TOOLTIP_GREEN_BOX_COMP_CNT	Abgeschlossener grüner Fall %d mal
CZ_REWARD_TOOLTIP_WEEKLY	Tag
CZ_REWARD_TOOLTIP_WEEKLY_FRI	Freitag
CZ_REWARD_TOOLTIP_WEEKLY_MON	Montag
CZ_REWARD_TOOLTIP_WEEKLY_SAT	Samstag
CZ_REWARD_TOOLTIP_WEEKLY_SAT_SUN	Samstag, Sonntag
CZ_REWARD_TOOLTIP_WEEKLY_THU	Donnerstag
CZ_REWARD_TOOLTIP_WEEKLY_TUE	Dienstag
CZ_REWARD_TOOLTIP_WEEKLY_WED	Mittwoch
CZ_REWARD_TOOLTIP_YELLOW_BOX	Gelber Koffer
CZ_REWARD_TOOLTIP_YELLOW_BOX_COMP_CNT	Abgeschlossener Gelber Fall %d mal
BEAD	Animasphere
NEW_AFFECT_AUTO_PICK_UP	Automatischer Pickup-Effekt.	SNA
SWITCHBOT_ACTIVE	Dein System wird gerade verzaubert. Der Vorgang wird so lange fortgesetzt, bis der Verzauberungsbot den von dir eingegebenen Wert erreicht oder bis du ihn stoppst.
TRACK_OPEN_SHOP	Laden öffnen
TRACK_DUNGEON_INFORMATION	Dungeon#Information
TRACK_BOSS_INFORMATION	Weltboss#Information
TRACK_DUNGEON_NOTICE_INFORMATION	Benachrichtige mich, wenn#Dungeon verfügbar ist
TRACK_BOSS_NOTICE_INFORMATION	Benachrichtige mich, wenn Welt#Boss#verfügbar ist
TRACK_DUNGEON_LEVEL_FIELD	Level: %d - %d
TRACK_BOSS_LEVEL_FIELD	Empfohlene Stufe: %d - %d
TRACK_DUNGEON_PARTY_FIELD	Partei: %s
TRACK_BOSS_PARTY_FIELD	Abklingzeit des Bosses: %s
TRACK_DUNGEON_PARTY_NEED	Erforderlich
TRACK_DUNGEON_PARTY_NOT_NEED	Nicht erforderlich
TRACK_DUNGEON_COOLDOWN_FIELD	Dungeon Abklingzeit: %s
TRACK_BOSS_COOLDOWN_FIELD	Karte: %s
TRACK_STATUS_FIELD	Status: %s
TRACK_STATUS_AVAILABLE	Verfügbar
TRACK_STATUS_ALIVE	Lebendig CH%d
TRACK_DUNGEON_KEY	Dungeon Schlüssel
TRACK_TELEPORT	Teleport
TRACK_WINDOW_TITLE	[F5] Track-Fenster
TRACK_DUNGEON_READY	[Dungeon] %s ist verfügbar!
TRACK_BOSS_READY	[WorldBoss] %s ist gespawnt!
TRACK_WB_1	General Wu
TRACK_WB_1_MAP	Zodiac-Tempel
TRACK_WB_2	General Du
TRACK_WB_3	General Chou
TRACK_WB_4	General Xu
TRACK_WB_5	General Chen
TRACK_WB_6	Dünenwächter
TRACK_WB_6_MAP	Berg-Odyssee
FISHGAME_TITLE	Fisch
EXCHANGELOG_TITLE	Tauschprotokolle
EXCHANGELOG_OWNERNAME	Name des Besitzers
EXCHANGELOG_TARGETNAME	Zielname
EXCHANGELOG_GOLDTRADED	Gehandeltes Gold
EXCHANGELOG_DATE	Datum
EXCHANGELOG_IP	IP
EXCHANGELOG_CONTENT	Inhalt
EXCHANGELOG_DELETESELECTED	Ausgewählte löschen
EXCHANGELOG_DELETEALL	Alle löschen
EXCHANGELOG_CHANGEPASS	Passwort ändern
EXCHANGELOG_FAKETITLE	%s zu %s
EXCHANGELOG_LOADING	Laden
EXCHANGELOG_INPUTTITLE	Protokoll löschen
EXCHANGELOG_INPUTDESC	Setze dein Zeichen Löschwert
EXCHANGELOG_INPUT_NOT_NUMBER	Bitte eine Zahl eingeben
EXCHANGELOG_INPUT_NOT_ENOUGHT_SIZE	Bitte echten Wert für das Löschzeichen eingeben
EXCHANGELOG_INPUT_NOT_SAME_CODE	Dieser Wert ist falsch
EXCHANGELOG_INPUT_NOT_HAS_LOG	Hat kein Protokoll zum Löschen.
GAYA_BUY	Willst du {} kaufen für {} Vidra-Punkte?
GAYA_BOUGHT	Du hast bereits eingekauft!
GAYA_OPEN_SLOT	Willst du einen Slot öffnen?
GAYA_NO_GEM	Du hast nicht genug Vidra-Punkte!
GAYA_REFRESH	Willst du Gegenstände auffrischen?
NEW_AFFECT_VOTE4BUFF	Vote4Bonus	SNA
MINI_GAME_RUMI_DISCARD_QUESTION	Willst du die Karte entfernen?
MINI_GAME_RUMI_EXIT_QUESTION	Willst du das Spiel beenden?
MINI_GAME_RUMI_EXIT_QUESTION2	Du erhältst eine Belohnung, die von den Punkten abhängt, die du verdient hast.
MINI_GAME_RUMI_START_QUESTION	Du brauchst %d Yang und %d ein Deck von Okey-Karten.
MINI_GAME_RUMI_START_QUESTION2	Willst du spielen?
MINI_GAME_CATCHKING_CHALLENGE_TOOLTIP1	Wenn du mehrere %s einsetzt, wirst du mit der gleichen Anzahl von Truhen belohnt.
MINI_GAME_CATCHKING_CHALLENGE_TOOLTIP2	Maximaler Wetteinsatz: %d King Decks.
MINI_GAME_CATCHKING_HELP_MSG1	So ein Pech! Der Wert deiner Karte ist niedriger.\nDu bekommst keine Punkte. Wähle eine neue Karte aus deinem Deck.
MINI_GAME_CATCHKING_HELP_MSG2	Gut gemacht! Die Karten haben den gleichen Wert. \nDein Zug ist vorbei. Wähle eine neue Karte aus deinem Stapel.
MINI_GAME_CATCHKING_HELP_MSG3	Weiter so! Der Wert deiner Karte ist höher.\nDreh eine weitere Karte um.
MINI_GAME_CATCHKING_HELP_MSG4	Es war eine [5] in Reichweite der aufgedeckten Karte.\nSchade, dass du keine Punkte bekommst. Wähle jetzt deinen König [K].
MINI_GAME_CATCHKING_POPUP_CATCH_FAIL	Der König ist entkommen! Das Spiel ist vorbei. \nWenn du mindestens 10 Punkte verdient hast, kannst du jetzt deinen Preis einlösen.
MINI_GAME_CATCHKING_POPUP_REWARD_FAIL	Du kannst keinen Preis einlösen.
MINI_GAME_CATCHKING_SEARCH_NUMBER5	Es ist eine [5] in der Nähe.
MINI_GAME_CATCHKING_START_QUESTION_01	Du musst Folgendes für ein Spiel bezahlen: %d Yang und %s: %d Lose
MINI_GAME_CATCHKING_START_QUESTION_02	Willst du jetzt spielen?
MINI_GAME_CATCHKING_TOOLTIP_CARD1	Du kannst die folgende Karte fangen: [1]
MINI_GAME_CATCHKING_TOOLTIP_CARD2	Kann die folgenden Karten fangen: [1], [2]
MINI_GAME_CATCHKING_TOOLTIP_CARD3	Kann die folgenden Karten fangen: [1], [2], [3]
MINI_GAME_CATCHKING_TOOLTIP_CARD4	Kann die folgenden Karten fangen: [1], [2], [3], [4]
MINI_GAME_CATCHKING_TOOLTIP_CARD5	Kann die folgenden Karten fangen: [1], [2], [3], [4], [5]\Wenn eine andere [5] neben der Karte liegt, die du aufdeckst, endet dein Zug und du bekommst keine Punkte.
MINI_GAME_CATCHKING_TOOLTIP_CARD6	Du kannst die folgende Karte fangen: [K]
MINI_GAME_CATCHKING_TOOLTIP_SCORE1	%s: 550 oder mehr
MINI_GAME_CATCHKING_TOOLTIP_SCORE2	%s: 400 bis 549
MINI_GAME_CATCHKING_TOOLTIP_SCORE3	%s: 10 bis 399
MINI_GAME_CATCHKING_TOOLTIP_SCORE4	Du erhältst 10 Bonuspunkte, wenn du alle Karten in einer Reihe aufdeckst.
CARD_EVENT	Okey Kartenereignis
CATCH_KING_EVENT	König fangen Ereignis
TREASURE_KEY	Schlüsselkasten-Ereignis
MISSION_TYPE_ALL_MONSTER	Alle Monster
MISSION_TYPE_ALL_METIN	Alle MetinSteine
MISSION_TYPE_ALL_BOSS	Alle König&Boss
MISSION_TYPE_LEVELRANGE	(+-%d Level)
MISSION_DELETE_TEXT	Willst du die Mission entfernen?
MISSION_REWARD_TEXT	Willst du eine Belohnung erhalten?
BEGGINER_EVENT	Anfängerevent
LOCK_BONUS	Nº Bonus: %d (Rechtsklick)
LOCK_BONUS2	Wähle einen Bonus (Rechtsklick)
COPY_ITEM	Bonus:
COPY_ITEM1	Rechtsklick zum Löschen des Bonus
COPY_ITEM2	(Leer)
COPY_ITEM3	Schwert
COPY_ITEM4	Dolch
COPY_ITEM5	Bogen
COPY_ITEM6	Zweihand
COPY_ITEM7	Glocke
COPY_ITEM8	Fächer
COPY_ITEM9	Rüstung
COPY_ITEM10	Helm
COPY_ITEM11	Schild
COPY_ITEM12	Armband
COPY_ITEM13	Schuhe
COPY_ITEM14	Halskette
COPY_ITEM15	Ohrringe
COPY_ITEM16	Kostüm
COPY_ITEM17	Haare
COPY_ITEM18	Reittier
COPY_ITEM19	Schulterband
COPY_ITEM20	Waffenskin
COPY_ITEM21	Schulterband-Skin
COPY_ITEM22	Haustier
COPY_ITEM23	Reittier-Skin
COPY_ITEM24	Haustier-Skin
RANK_TITLE	Reward Info
SEARCH_TITLE	Shop durchsuchen
NEW_AFFECT_BRAVE_CAPE	Tapferkeitsumhang	SNA
SELL_PRICE_INFO	[Verkaufspreis]
SELL_PRICE_INFO_PCS	Stück: %s
SELL_PRICE_INFO_ALL	Alle: %s
BUFFI_TOOLTIP_INFO	Dieses Siegel beschwört einen Schamanen mit der Fähigkeit Drachenschamane. Eine Namensschriftrolle (Buffi) schaltet die Fähigkeiten des Heilschamanen frei. Die Fertigkeiten werden auf deinem Charakter gespeichert, nicht auf dem Buffi-Siegel.
BUFFI_TOOLTIP_INFO2	Buffi Kostüme bieten keinen Bonus.
EVENTBTNMAP	Event-Kalender
BIO_TIME_TEXT	%d D %d H %d Min. %d Seg.	
BLUE_KINGDOM	|cFF8CADDBJinno:|h|r	
BONUS_NEXT_EVENT	|Eemoji/key_rclick|e - next event	
COMBAT_ZONE_LIMIT_SHOP_POINTS	Daily limit: %d/ %d	
EMOJI_CHARACTER_STATS_ADD	|Eemoji/key_ctrl|e + |Eemoji/key_lclick|e - add x10	
EMOJI_CHARACTER_STATS_DELETE	|Eemoji/key_ctrl|e + |Eemoji/key_lclick|e - subtract x10	
EMPIRE_WAR_EVENT	Kingdom War (Lv %d - Lv %d)	
EVENT_COLORFULL_TEXT	|cFF84A5B9%s|h|r	
GAME_CANNOT_PICK_ITEM	Du kannst den Gegenstand nicht einsammeln, da er nicht von dir erbeutet wurde.
GAME_INIT_ERROR_CURSOR	Mauszeiger konnte nicht erstellt werden.
